file1	condition	sample	batch
salmon-results/S1/quant.sf	WT	S1	replicate1
salmon-results/S2/quant.sf	KO1	S2	replicate1
salmon-results/S3/quant.sf	KO2	S3	replicate1
salmon-results/S4/quant.sf	WT	S4	replicate2
salmon-results/S5/quant.sf	KO1	S5	replicate2
salmon-results/S6/quant.sf	KO2	S6	replicate2
salmon-results/S7/quant.sf	WT	S7	replicate3
salmon-results/S8/quant.sf	KO1	S8	replicate3
salmon-results/S9/quant.sf	KO2	S9	replicate3
salmon-results/S10/quant.sf	WT	S10	replicate4
salmon-results/S11/quant.sf	KO1	S11	replicate4
salmon-results/S12/quant.sf	KO2	S12	replicate4
